iter	Passed	Remaining
0	0	61
1	1	57
2	1	55
3	2	52
4	2	51
5	3	50
6	3	50
7	4	49
8	4	48
9	5	48
10	5	47
11	6	47
12	7	46
13	7	46
14	8	45
15	8	44
16	9	44
17	9	43
18	10	43
19	10	42
20	11	42
21	11	41
22	12	40
23	12	40
24	13	39
25	13	39
26	14	38
27	14	38
28	15	37
29	15	37
30	16	36
31	16	35
32	17	35
33	17	34
34	18	34
35	19	33
36	19	33
37	20	32
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	23	29
44	23	28
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	15
71	37	14
72	37	14
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	44	6
88	45	5
89	45	5
90	45	4
91	46	4
92	46	3
93	46	2
94	47	2
95	47	1
96	47	1
97	48	0
98	48	0
99	48	0
